author,pubmed_id
André Ricardo de Lima Damásio,26923808
Andrea C Neira,31460171
Andrea C Neira,33163824
Andrea Camattari,26285758
Andrea Ceci,34442757
Andrea Minio,33815343
Andrea Perez,26410073
Andrea Seveso,34342275
Andrea Strazzulli,20427274
Andrea Strazzulli,30446550
Andrea Strazzulli,31595646
Andrea Strazzulli,32899230
Andrea Trochine,35713658
Andreas B Bertelsen,33640002
Andreas B Bertelsen,33797234
Andreas B Bertelsen,33896006
Andreas Blennow,16584202
Andreas Bremges,28417375
Andreas Koestelbauer,34484168
Andreas P Teske,34112968
Andreas S Bommarius,24794535
Andrei Kiselev,35050028
Andrei Stecca Steindorff,24655731
Andrei Stecca Steindorff,34523973
Andrei Stecca Steindorff,31189469
Andrei Stecca Steindorff,33034064
Andrew C Heath,35533274
Andrew C Tolonen,25393313
Andrew F Billings,34512564
Andrew J Conrad,11922568
Andrew J King,29150503
Andrew J Mort,27075737
Andrew J Mort,30328527
Andrew J Mort,33097402
Andrew J Roger,35700733
Andrew P Montgomery,28683920
Andrew S Arvai,24912171
Andrew Thompson,26249681
Andrew Tritt,35604096
Andrew Tritt,33211093
Andrey A Dovzhenok,29625007
Andrey A Kruglov,32040234
Andrey Y Kovalevsky,28481095
Andrey Y Kovalevsky,26527275
Andriy Kovalchuk,31138126
Anelyse A Cortez,33483031
Anete Pereira De Souza,35281818
Anete Pereira De Souza,33992696
Anete Pereira De Souza,29025413
Anete Pereira De Souza,34040092
Anete Pereira De Souza,33138770
Angel T Martínez,34071235
Angel T Martínez,33211093
Angel T Martínez,28624475
Angel T Martínez,33538380
Angel T Martínez,32531032
Angel T Martínez,26692083
Angel Zhang,28412514
Angela Casillo,30446550
Angela D Norbeck,32929206
Angela H Williams,32345704
Angela S Machado,32766234
Angélica de Oliveira Pontes,28666414
Angélina d'Orlando,31508147
Angélique Gobet,30524390
Angelo Duò,27938347
Anh Dzung Nguyen,35001244
Anhui Chen,31993039
Anika Glasenapp,32573086
Anikó Várnai,34798071
Anikó Várnai,24733907
Anikó Várnai,26609322
Anikó Várnai,27059395
Anikó Várnai,27587308
Anikó Várnai,27590806
Anikó Várnai,28219736
Anikó Várnai,29602785
Anikó Várnai,29971843
Anikó Várnai,30125294
Anikó Várnai,30257993
Anikó Várnai,30578267
Anikó Várnai,30923566
Anikó Várnai,31431506
Anikó Várnai,31540984
Anikó Várnai,33602308
Anikó Várnai,34613755
Anikó Várnai,35080911
Anikó Várnai,26178376
Anikó Várnai,30580186
Anikó Várnai,32634476
Anikó Várnai,32640001
Anikó Várnai,32840713
Anikó Várnai,33219291
Anil C Somenahally,29150503
Anil Kumar Patel,34000697
Anil Kumar Verma,32963975
Anil Kumar Verma,33768388
Anil Shukla,32929206
Anita A Severn-Ellis,35283890
Anita Jerkovic,32382450
Anjani Kumar,34607097
Anju Kala,33087998
Anke Neumann,32066798
Anke Neumann,32318549
Ankit T Hinsu,28246035
Ankita Rathore,31081473
Anmoldeep Randhawa,32978122
Ann C Y Wong,30083228
Ann L T Powell,25232357
Ann-Marie Dalin,28731473
Anna Avrova,27875982
Anna Carolina Oliveira Souza,34063014
Anna Company,31460171
Anna Company,33163824
Anna H K Riemen,15590674
Anna Hakobyan,31800383
Anna J Taylor,34032403
Anna Klindworth,25211053
Anna Kopf,25479944
Anna Lam,28900033
Anna Lewin,28963711
Anna Lipzen,31471321
Anna Lipzen,34071235
Anna Lipzen,35604096
Anna Lipzen,27605927
Anna Lipzen,30221832
Anna Lipzen,29145801
Anna Lipzen,32531032
Anna Lipzen,33211093
Anna Lipzen,33538380
Anna Lipzen,26692083
Anna Lipzen,26693682
Anna Lipzen,28184248
Anna Lipzen,29487573
Anna Lipzen,29551995
Anna Lipzen,29679020
Anna Lipzen,31007715
Anna Lipzen,31314937
Anna Lipzen,31585998
Anna Lipzen,31726994
Anna Lipzen,31769802
Anna Lipzen,32107379
Anna Lipzen,32313551
Anna Lipzen,33034064
Anna Lipzen,34372938
Anna Lipzen,34767630
Anna Lipzen,34791213
Anna Lipzen,35311955
Anna Lipzen,35330313
Anna Lipzen,31572496
Anna Lipzen,34893598
Anna Luiza Bauer Canellas,34555402
Anna M Alessi,33597033
Anna M Alessi,31719844
Anna M Alessi,33903229
Anna M Kielak,24947206
Anna M Larsson,23525113
Anna M Neumann,25847866
Anna Maria Persiani,34442757
Anna Muszewska,35050007
Anna O Avrova,34385392
Anna Padula,20427274
Anna Pawlik,31697461
Anna R Kersting,25994181
Anna Rita Trentin,28215348
Anna Robotham,26950732
Anna Rosengren,23558681
Anna S Borisova,31624497
Anna S Borisova,26178376
Anna S Dotsenko,26301455
Anna Skåne,34319813
Annalisa Santangelo,31595646
Anne Abot,27552843
Anne C Bunæs,21748815
Anne Cathrine Bunæs,33623002
Anne Favel,32531032
Anne Favel,33538380
Anne Favel,22300648
Anne Favel,22459963
Anne Fünfhaus,25080221
Anne Grethe Hamre,25812992
Anne Grethe Hamre,30640029
Anne Lacey Samuels,35396710
Anne Lomascolo,30083230
Anne Lomascolo,32531032
Anne Marjorie E David,29936557
Anne Richter,32273365
Anne S Meyer,28110665
Anne S Meyer,28750348
Anne S Meyer,28293230
Anne S Meyer,32198418
Anne S Meyer,32406917
Anne S Meyer,33799907
Anne S Meyer,35668758
Anne-Grethe Skaarberg Strømnes,30640029
Anne-Kristin Kaster,33658277
Anne-Laure Abraham,28091525
Annegret Kohler,21644839
Annegret Kohler,25173823
Annegret Kohler,26171947
Annegret Kohler,28076886
Annegret Kohler,29487573
Annegret Kohler,29551995
Annegret Kohler,30097442
Annegret Kohler,31314937
Annegret Kohler,34767630
Annegret Kohler,35330313
Annegret Kohler,35599894
Annegret Kohler,34893598
Annele Hatakka,24394946
Annette M Bodenheimer,28291519
Annette M Bodenheimer,29374564
Annick Bernalier-Donadille,28348841
Annie Lebreton,32039703
Annie Lebreton,35330313
Annie Lebreton,35599894
Annika Anthonsen,21876164
Anny Yanuriati,27842852
Anouck Habrant,29259205
Anran Feng,29467819
Ansgar Poetsch,31338125
Anshu Mathur,31874688
Anshu Shankar Mathur,31360222
Anshuman A Khardenavis,29430367
Anshuman A Khardenavis,29651183
Ansuman Senapati,34607097
Anthi Karnaouri,28515785
Anthi Karnaouri,30386433
Anthi Karnaouri,31827613
Anthi Karnaouri,33905799
Anthi Karnaouri,30685134
Anthi Karnaouri,34871721
Anthi Karnaouri,34597805
Anthonia O'Donovan,30771467
Anthony C Duncan,15657491
Anthony Levasseur,23514094
Anthony Levasseur,32531032
Anthony Levasseur,25575496
Anthony Levasseur,24695830
Anthony P Green,33411405
Anthony V Palumbo,29150503
Antje Wichels,25211053
Antje Wichels,25479944
Antoine Gruet,26441929
Antoine Margeot,30923563
Antoine Margeot,25626518
Antoine Margeot,34481893
Antoine Royant,24828494
Antoine Royant,31903721
Anton A Stepnov,33478537
Anton A Stepnov,34738811
Anton A Stepnov,32943141
Anton A Stepnov,34049079
Anton A Stepnov,34845720
Anton A Stepnov,35414104
Anton Glieder,26285758
Anton Glieder,34044872
Anton S M Sonnenberg,29643074
Antonella Amore,29100023
Antoni Planas,15010454
Antoni Planas,15192099
Antonielle Vieira Monclaro,33375972
Antonielle Vieira Monclaro,28450248
Antonielle Vieira Monclaro,34801726
Antonielle Vieira Monclaro,35451731
Antonielle Vieira Monclaro,34117349
Antonielle Vieira Monclaro,32640001
Antonieta De Cal,32484383
Antonieta De Cal,33082973
Antonio Adalberto Kaupert Neto,26712719
Antonio Ariza,26894673
Antonio de Vicente,33742545
Antonio Francesco Logrieco,30200883
Antonio G Pisabarro,29145801
Antonio G Pisabarro,33211093
Antonio Goncalves,32573768
Antonio J Costa-Filho,30125294
Antonio J F Carvalho,33483031
Antonio Masi,28215348
Antonio Molina,32720872
Antonio Muñoz-Barrios,32720872
Antonio R Anzueto,23953956
Antonio Rossi,24655731
Antonio Zapparata,25575496
Antonio Zapparata,27496087
Antonis Karantonis,30386433
Antonis Karantonis,34871721
Antonis Rokas,31297970
Anup Kumar Ghosh,28923009
Any Elisa de Souza Schmidt Gonçalves,31754374
Ao Wang,34634440
Aoife Hanrahan,29588664
Appa Rao Podile,30708015
Appa Rao Podile,23480960
Archana,30903269
Ari M Hietala,22718248
Ariane Bize,28114419
Ariane Bize,33932835
Arijit Panda,35369471
Arijita Basak,33542396
Arindam Bhattacharjee,33813595
Arinthip Thamchaipenet,22728789
Arisa Fukatsu,32297615
Arista Fourie,32652232
Aristofanis Vollas,31817030
Aristóteles Góes-Neto,35205897
Aristotelis C Papageorgiou,34764945
Arkady P Sinitsyn,28107425
Arkady P Sinitsyn,29100178
Arkady P Sinitsyn,31672609
Arkady P Sinitsyn,30847851
Arkady P Sinitsyn,32111065
Arkady P Sinitsyn,20540109
Arkady P Sinitsyn,20540109
Arkady P Sinitsyn,26301455
Armaye Biresaw,33711736
Armin Ghaderi,27177969
Armin Tarrah,32623485
Arnab Pain,35401459
Arnab Sen,30291576
Arnaud Baslé,30877196
Arnaud Bridier,28114419
Aroa Rodriguez-Iglesias,26864432
Arpita Vats,33877388
Arslan Ali,34442660
Art J Ragauskas,25342973
Artemio Mendoza-Mendoza,26864432
Arthur F J Ram,32531032
Arthur F J Ram,30320082
Arthur F J Ram,32850729
Arthur F J Ram,25629352
Arthur Henrique Cavalcante de Oliveira,33383972
Arthur Silva Lima,33675372
Artur Alves,34947073
Artur Alves,35049971
Artur Hermano Sampaio Dias,31754374
Artur Rogowski,28118504
Artur Rogowski,29052930
Arturo O Lluisma,29936557
Arturo Vera-Ponce de León,32060023
Artyom G Pravilnikov,20540109
Arun Goyal,27917828
Arun Goyal,15192099
Arun Goyal,31435842
Arunaloke Chakrabarti,28923009
Arunima Sinha,32170889
Asad Ullah,35329417
Asaf A Salamov,28555641
Asaf A Salamov,31799118
Asaf Salamov,32107379
Asaf Salamov,34893091
Ashok K Singh,29230233
Ashok Pandey,32778049
Ashok Pandey,33292411
Ashok Pandey,33737204
Ashwani Kumar Verma,32963975
Ashwani Kumar Verma,33768388
Ashwini D Pathak,33732569
Asif Ali Khan,34512084
Asifa Qureshi,34341843
Asmaa Hemida,32311402
Åsmund K Røhr,24912171
Åsmund K Røhr,26858252
Åsmund K Røhr,33478537
Åsmund K Røhr,27152023
Åsmund K Røhr,29498832
Åsmund K Røhr,30257993
Åsmund K Røhr,30923566
Åsmund K Røhr,30947104
Åsmund K Røhr,31907317
Åsmund K Røhr,32060276
Åsmund K Røhr,26178376
Åsmund K Røhr,28846668
Asmund Kjendseth Røhr,24559135
Asmund Kjendseth Røhr,34798071
Asmund Kjendseth Røhr,33623002
Ata Ghavidel,29441125
Atchara Paemanee,22728789
AthiraRaj Sreeja-Raju,33292411
AthiraRaj Sreeja-Raju,33737204
Athol V Klieve,29159997
Atif Ali Khan Khalil,35329417
Atif Zaman,11922568
Atílio Tomazini Júnior,31168322
Atílio Tomazini Júnior,30338698
Atsushi Mukai,24018662
Atsushi Sato,32107379
Atul N Vaidya,25745563
Audrey Dubost,28076886
Audrey Geairon,31088618
Augusto Vieira Magalhães,32984289
Aundy Kumar,34824307
Aurelie Cohen-Skalie,30076781
Aurélie Preynat,25785187
Aurin M Vos,29643074
Aurora Antonio-Pérez,22704667
Aurore Labourel,31932718
Aurore Labourel,31508147
